등록번호,상호,소재지,대표자,사무소전화번호,상태,데이터기준일자
11710-2018-00260,골든키공인중개사사무소,서울특별시 송파구 오금로 544 1층(거여동),김응식,02-417-9944,영업중,2024-08-12
11710-2018-00274,신천파크리오공인중개사사무소,"서울특별시 송파구 오금로 58 1305호(신천동, 잠실아이스페이스)",이범영,02-422-8868,영업중,2024-08-12
11710-2018-00278,서울공인중개사사무소,서울특별시 송파구 거마로 6 1층(거여동),장옥주,02-400-1334,영업중,2024-08-12
11710-2018-00284,파인타운하나부동산공인중개사사무소,"서울특별시 송파구 충민로 152 상가동 105호(장지동,송파파인타운3단지)",황두윤,02-3421-1182,영업중,2024-08-12
11710-2018-00285,송파복드림공인중개사사무소,서울특별시 송파구 가락로6길 3 1층(석촌동),이경희,02-565-6776,영업중,2024-08-12
11710-2018-00287,서울공인중개사사무소,"서울특별시 송파구 올림픽로35길 10 상가B동 111호(신천동,파크리오)",송태철,02-413-8800,영업중,2024-08-12
11710-2018-00291,A플러스부동산공인중개사사무소,"서울특별시 송파구 송파대로 345 1A동 B122호(가락동,헬리오시티)",김진향,02-407-3322,영업중,2024-08-12
11710-2018-00298,천우공인중개사사무소,서울특별시 송파구 백제고분로9길 36 3층(잠실동),현은정,등록된 사무소 전화번호 없음,영업중,2024-08-12
11710-2018-00299,해솔부동산중개법인 유한책임회사,서울특별시 송파구 법원로6길 7 404호(문정동),이경미,02-401-4301,영업중,2024-08-12
11710-2018-00303,잠실타운공인중개사사무소,"서울특별시 송파구 석촌호수로 61 상가동 161호(잠실동, 트리지움)",김종억,02-415-6200,영업중,2024-08-12
11710-2018-00310,탑위례부동산중개법인 주식회사,"서울특별시 송파구 위례광장로 121 상가동 111호(장지동, 위례24단지)",김미라,02-404-3535,영업중,2024-08-12
11710-2018-00313,부동산forU공인중개사사무소,"서울특별시 송파구 충민로 5 126호(문정동,송파한화오벨리스크)",이종열,02-2043-9933,영업중,2024-08-12
11710-2018-00316,하나공인중개사사무소,"서울특별시 송파구 백제고분로19길 25 ,1층 (잠실동)",박명순,02-421-4930,영업중,2024-08-12
11710-2018-00317,정다운(409-4009)공인중개사사무소,"서울특별시 송파구 송파대로 345 1A동 1087호(가락동, 헬리오시티)",김인숙,02-409-4009,영업중,2024-08-12
11710-2018-00320,더원공인중개사사무소,서울특별시 송파구 백제고분로12길 12 1층(잠실동),조민혁,02-415-9958,영업중,2024-08-12
11710-2018-00333,올림픽공인중개사사무소,"서울특별시 송파구 양재대로 1218 에이상가 1층102-1호(방이동,올림픽선수기자촌아파트)",이정근,02-409-4545,영업중,2024-08-12
11710-2018-00334,강남공인중개사사무소,"서울특별시 송파구 양산로 12 111호,112호(거여동,세신거여훼밀리타운)",김경이,02-402-5556,영업중,2024-08-12
11710-2018-00346,대호공인중개사사무소,서울특별시 송파구 문정로4길 26 1층(문정동),강휘석,02-400-4489,영업중,2024-08-12
11710-2018-00349,미래로부동산중개법인 주식회사,"서울특별시 송파구 석촌호수로 61 상가동 104호(잠실동, 트리지움)",권호안,02-413-1224,영업중,2024-08-12
11710-2018-00351,참조은부동산공인중개사사무소,서울특별시 송파구 백제고분로12길 13 1층(잠실동),이성진,02-418-1231,영업중,2024-08-12
11710-2018-00358,스피드공인중개사사무소,서울특별시 송파구 백제고분로 454 1층(방이동),김용길,02-422-8953,영업중,2024-08-12
11710-2018-00359,삼성공인중개사사무소,"서울특별시 송파구 문정로 195 상가동 1층101호(오금동,삼성아파트)",나건희,02-402-0059,영업중,2024-08-12
11710-2018-00360,빌딩명가공인중개사사무소,서울특별시 송파구 백제고분로 168 1층(잠실동),한문수,02-477-2800,영업중,2024-08-12
11710-2018-00364,송파헬리오시티오렌지공인중개사사무소,서울특별시 송파구 백제고분로34길 44 1층(석촌동),김유라,등록된 사무소 전화번호 없음,영업중,2024-08-12
11710-2018-00366,중앙베스트공인중개사사무소,"서울특별시 송파구 위례광장로 120 상가동 116호 (장지동, 위례중앙푸르지오1단지)",이호진,02-6428-3000,영업중,2024-08-12
11710-2018-00367,집주름공인중개사사무소,"서울특별시 송파구 송파대로8길 20 상가동 101, 102호(장지동,송파파인타운10단지)",복장원,02-408-1222,영업중,2024-08-12
11710-2018-00369,박사공인중개사사무소,서울특별시 송파구 성내천로21길 6 1층 (마천동),박찬수,02-409-0607,영업중,2024-08-12
11710-2018-00374,프라자공인중개사사무소,"서울특별시 송파구 동남로18길 40 상가동 1층105호(가락동,프라자아파트)",채이순,02-412-4455,영업중,2024-08-12
11710-2018-00375,위례보물공인중개사사무소,"서울특별시 송파구 위례광장로 185 상가동 102호(장지동,위례신도시송파푸르지오)",이현희,02-426-0700,영업중,2024-08-12
11710-2018-00379,송파공인중개사사무소,"서울특별시 송파구 송파대로 345 1B동 1108호(가락동,헬리오시티)",홍성화,02-407-9114,영업중,2024-08-12
11710-2018-00380,황금알공인중개사사무소,"서울특별시 송파구 석촌호수로 61 상가동 123호(잠실동,트리지움)",김종복,02-422-9300,영업중,2024-08-12
11710-2018-00384,삼원공인중개사사무소,서울특별시 송파구 동남로26길 21 101호(오금동),방재주,등록된 사무소 전화번호 없음,영업중,2024-08-12
11710-2018-00385,문정키움공인중개사사무소,"서울특별시 송파구 송파대로 201 A동 A-134호(문정동,송파테라타워2)",이신재,02-404-9600,영업중,2024-08-12
11710-2018-00397,아침(415-7111)공인중개사사무소,"서울특별시 송파구 송파대로 345 1A동 1060호(가락동, 헬리오시티)",박종섭,02-415-7111,영업중,2024-08-12
11710-2018-00398,여기공인중개사사무소,서울특별시 송파구 도곡로64길 24 102호(잠실동),김성민,02-6959-6285,영업중,2024-08-12
11710-2018-00407,온라인공인중개사사무소,"서울특별시 송파구 백제고분로 180 ,가호 (잠실동)",김성모,02-422-0102,영업중,2024-08-12
11710-2018-00414,다온공인중개사사무소,서울특별시 송파구 마천로 333 1층(마천동),이예슬,02-402-6688,영업중,2024-08-12
11710-2018-00418,황금문정공인중개사사무소,"서울특별시 송파구 송파대로 145 111호(문정동,문정오벨리스크)",김동욱,02-400-0992,영업중,2024-08-12
11710-2018-00421,문정공인중개사사무소,"서울특별시 송파구 충민로 5 107호(문정동,송파한화오벨리스크)",김수석,02-409-5949,영업중,2024-08-12
11710-2018-00424,아주리센공인중개사사무소,"서울특별시 송파구 오금로11길 55-8 102호(방이동,아주리센 센트럴파크)",성문강,02-419-8949,영업중,2024-08-12
11710-2018-00425,대한부동산중개주식회사,"서울특별시 송파구 충민로 10 , 10-S13호(문정동, 가든파이브툴)",고병균,02-6910-0853,영업중,2024-08-12
11710-2018-00426,밸류업부동산중개,"서울특별시 송파구 법원로 96 10층 1007호 (문정동, 문정법조프라자)",박미숙,02-402-3220,영업중,2024-08-12
11710-2018-00429,주식회사 전국부동산중개법인,서울특별시 송파구 백제고분로 382 1층(송파동),이연옥,02-420-0008,영업중,2024-08-12
11710-2018-00431,송파114공인중개사사무소,"서울특별시 송파구 송파대로 345 3블록C동 B1층40호(가락동, 헬리오시티)",박순현,02-420-6114,영업중,2024-08-12
11710-2018-00437,서울공인중개사사무소,"서울특별시 송파구 중대로 24 상가(1) 1층109,110호(문정동,문정훼밀리타운아파트)",박영미,02-404-5300,영업중,2024-08-12
11710-2018-00438,주식회사 부동산중개법인지원,서울특별시 송파구 백제고분로33길 16-6 B102호(석촌동),배정아,02-6925-5040,영업중,2024-08-12
11710-2018-00445,엘지공인중개사사무소,서울특별시 송파구 동남로6길 21 1층(문정동),박광희,등록된 사무소 전화번호 없음,영업중,2024-08-12
11710-2018-00451,가락공인중개사사무소,서울특별시 송파구 송이로19길 4 1층(가락동),정미라,02-408-0500,영업중,2024-08-12
11710-2018-00455,한국공인중개사사무소,서울특별시 송파구 백제고분로32길 22 1층(삼전동),이종욱,02-417-1130,영업중,2024-08-12
11710-2018-00457,해누리공인중개사사무소,서울특별시 송파구 송파대로37길 90 1층(석촌동),홍성희,02-423-2300,영업중,2024-08-12
11710-2018-00459,헬리오시티대승공인중개사사무소,"서울특별시 송파구 송파대로 345 1A동 1006호(가락동, 헬리오시티)",김민준,02-597-8988,영업중,2024-08-12
11710-2018-00463,행복한공인중개사사무소,서울특별시 송파구 백제고분로34길 23 1층(석촌동),정혜윤,02-423-2022,영업중,2024-08-12
11710-2018-00478,카카오공인중개사사무소,"서울특별시 송파구 송파대로 345 1A동 1073호(가락동, 헬리오시티)",김선경,02-413-8700,영업중,2024-08-12
11710-2018-00482,위드공인중개사사무소,"서울특별시 송파구 위례광장로 170 상가에이동 A106호 (장지동, 힐스테이트송파위례)",노명숙,02-402-5100,영업중,2024-08-12
11710-2018-00493,우리써브공인중개사사무소,"서울특별시 송파구 오금로54길 10 상가동 1층110호(거여동,현대아파트)",양명신,02-404-3311,영업중,2024-08-12
11710-2018-00494,대영공인중개사사무소,"서울특별시 송파구 새말로 62 상가116호(문정동,송파푸르지오시티)",송경희,02-400-4888,영업중,2024-08-12
11710-2018-00497,김낙우공인중개사사무소,서울특별시 송파구 위례북로1길 72 (거여동),김낙우,02-412-7878,영업중,2024-08-12
11710-2018-00498,리치공인중개사사무소,"서울특별시 송파구 위례광장로 120 상가동 141호(장지동, 위례중앙푸르지오1단지)",원정우,02-400-0770,영업중,2024-08-12
11710-2018-00500,참좋은공인중개사사무소,서울특별시 송파구 가락로11길 21 1층(석촌동),홍석랑,02-2203-4994,영업중,2024-08-12
11710-2018-00502,시그니처공인중개사사무소,서울특별시 송파구 거마로8길 3 1층(거여동),이명구,02-406-5343,영업중,2024-08-12
11710-2018-00503,사랑의부동산중개,"서울특별시 송파구 송파대로 345 1A동 B040호 (가락동,헬리오시티)",부성원,02-422-3840,영업중,2024-08-12
11710-2018-00510,바른공인중개사사무소,서울특별시 송파구 송이로33길 5 1층(문정동),김병찬,02-404-7400,영업중,2024-08-12
11710-2018-00518,서울랜드공인중개사사무소,"서울특별시 송파구 양재대로 1222 중심상가동 1층6호(방이동, 올림픽선수기자촌아파트)",이향자,02-402-4000,영업중,2024-08-12
11710-2018-00521,MBA공인중개사사무소,"서울특별시 송파구 가락로 183 2층 22호(송파동, 한양아파트상가)",이병길,02-3012-4080,영업중,2024-08-12
11710-2019-00001,현대공인중개사사무소,"서울특별시 송파구 동남로 189 26동 1층107호(가락동,가락쌍용@)",하석열,02-404-8900,영업중,2024-08-12
11710-2019-00004,스피드공인중개사사무소,"서울특별시 송파구 올림픽로37길 130 상가A동 102호(신천동, 파크리오)",박덕현,02-413-1211,영업중,2024-08-12
11710-2019-00005,진원공인중개사사무소,서울특별시 송파구 성내천로 220 1층(마천동),오홍민,02-408-7006,영업중,2024-08-12
11710-2019-00007,헬로우공인중개사사무소,"서울특별시 송파구 송파대로 345 1A동 1051호(가락동,헬리오시티)",김종하,등록된 사무소 전화번호 없음,영업중,2024-08-12
11710-2019-00009,이웃공인중개사사무소,"서울특별시 송파구 송파대로 345 1B동 1121호(가락동, 헬리오시티)",이상경,02-402-3537,영업중,2024-08-12
11710-2019-00012,헬리오시티소망공인중개사사무소,"서울특별시 송파구 송파대로 345 1A동 B036호(가락동, 헬리오시티)",박영호,02-434-3100,영업중,2024-08-12
11710-2019-00013,태양공인중개사사무소,"서울특별시 송파구 송파대로 345 1B동 1101호(가락동,헬리오시티)",최선미,02-408-3338,영업중,2024-08-12
11710-2019-00015,에스지가든5공인중개사사무소,"서울특별시 송파구 충민로 10 8-S13호(문정동,가든파이브툴)",방철상,02-2047-4985,영업중,2024-08-12
11710-2019-00024,녹색시대공인중개사사무소,서울특별시 송파구 송파대로36길 9 1층(송파동),한귀만,02-419-0464,영업중,2024-08-12
11710-2019-00026,잠실엘스공인중개사사무소,"서울특별시 송파구 올림픽로 119 1B12호(잠실동, 잠실파인애플상가)",최한규,등록된 사무소 전화번호 없음,영업중,2024-08-12
11710-2019-00027,골드(문정역)공인중개사사무소,서울특별시 송파구 동남로2길 30 1층(문정동),이은숙,등록된 사무소 전화번호 없음,영업중,2024-08-12
11710-2019-00028,뉴세림공인중개사사무소,서울특별시 송파구 거마로 73 1층(마천동),서종훈,02-431-2400,영업중,2024-08-12
11710-2019-00036,송파하늘공인중개사사무소,서울특별시 송파구 백제고분로40길 11 1층(석촌동),김태주,02-422-6300,영업중,2024-08-12
11710-2019-00039,현대부동산중개,서울특별시 송파구 오금로31길 22 1층(방이동),임은순,02-414-3131,영업중,2024-08-12
11710-2019-00041,송파더센트레공인중개사사무소,"서울특별시 송파구 위례광장로 163 상가동 103-1호, 103-2호(장지동,위례22단지)",홍은신,070-7208-5012,영업중,2024-08-12
11710-2019-00042,건국공인중개사사무소,"서울특별시 송파구 충민로 52 S509호(문정동,가든파이브윅스)",송정래,02-3411-0401,영업중,2024-08-12
11710-2019-00043,장원공인중개사사무소,"서울특별시 송파구 송파대로 345 1A동 1077호(가락동, 헬리오시티)",최진영,02-402-8849,영업중,2024-08-12
11710-2019-00044,에듀홈공인중개사사무소,서울특별시 송파구 삼전로 37 3층(잠실동),하호성,02-415-7285,휴업연장,2024-08-12
11710-2019-00047,시온공인중개사사무소,서울특별시 송파구 송이로 91 1층(가락동),박은선,02-403-2020,영업중,2024-08-12
11710-2019-00052,명성(402-0055)공인중개사사무소,"서울특별시 송파구 송파대로 345 1A동 1003호(가락동, 헬리오시티)",권혁희,02-402-0055,영업중,2024-08-12
11710-2019-00053,정주억부동산중개법인주식회사,"서울특별시 송파구 백제고분로51길 7 111호(방이동, 잠실엘퍼스트오피스텔)",정주억,02-418-1002,영업중,2024-08-12
11710-2019-00055,반석공인중개사사무소,서울특별시 송파구 마천로 339 1층(마천동),조성수,02-407-6677,영업중,2024-08-12
11710-2019-00061,탑공인중개사사무소,"서울특별시 송파구 동남로 189 26동 1층105호(가락동, 가락쌍용@)",이관오,02-400-4114,영업중,2024-08-12
11710-2019-00066,타워공인중개사사무소,"서울특별시 송파구 올림픽로 212 110호(잠실동,갤러리아팰리스)",김희중,등록된 사무소 전화번호 없음,영업중,2024-08-12
11710-2019-00069,엘투에셋부동산중개법인 주식회사,"서울특별시 송파구 송파대로 345 1A동 1002호(가락동, 헬리오시티)",이승현,02-475-2800,영업중,2024-08-12
11710-2019-00070,선수촌유일공인중개사사무소,"서울특별시 송파구 양재대로 1218 에이상가동 1층103호(방이동,올림픽선수기자촌아파트)",곽경미,02-407-8989,영업중,2024-08-12
11710-2019-00072,현대공인중개사사무소,"서울특별시 송파구 올림픽로4길 17 중심상가동 1층182,183호(잠실동,아시아선수촌아파트)",최인실,02-423-4040,영업중,2024-08-12
11710-2019-00076,문정역공인중개사사무소,서울특별시 송파구 동남로2길 29 101호 (문정동),최윤옥,02-443-8002,영업중,2024-08-12
11710-2019-00082,골드공인중개사사무소,"서울특별시 송파구 올림픽로 203 1층 145호(잠실동,중앙상가)",이주희,02-2203-4400,영업중,2024-08-12
11710-2019-00089,제일공인중개사사무소,서울특별시 송파구 가락로 79 1층(석촌동),정경락,02-419-0055,영업중,2024-08-12
11710-2019-00090,마천베스트공인중개사사무소,서울특별시 송파구 마천로51길 22 1층(마천동),정용진,02-449-4646,영업중,2024-08-12
11710-2019-00097,한샘공인중개사사무소,서울특별시 송파구 중대로12길 28 101호(가락동),최현미,02-431-1177,영업중,2024-08-12
11710-2019-00098,세정공인중개사사무소,서울특별시 송파구 백제고분로31길 32 1층(삼전동),윤지환,02-423-5665,영업중,2024-08-12
11710-2019-00100,대성공인중개사사무소,"서울특별시 송파구 백제고분로51길 7 110호(방이동, 잠실엘퍼스트)",진미애,02-3432-9111,영업중,2024-08-12
11710-2019-00101,백조공인중개사사무소,서울특별시 송파구 마천로7길 14 1층(오금동),김명희,02-402-9449,영업중,2024-08-12
11710-2019-00110,오구오공인중개사사무소,"서울특별시 송파구 법원로 114 C동 C-112호(문정동,엠스테이트)",정재한,02-400-3322,영업중,2024-08-12
11710-2019-00112,마당발공인중개사사무소,서울특별시 송파구 오금로 528 1층(거여동),황효주,02-406-0059,영업중,2024-08-12
11710-2019-00114,제이공인중개사사무소,"서울특별시 송파구 올림픽로37길 130 상가A동 156호(신천동, 파크리오)",최중선,02-414-8899,영업중,2024-08-12
11710-2019-00120,동남헬리오부동산중개법인 주식회사,"서울특별시 송파구 송파대로 345 1A동 1013호(가락동, 헬리오시티)",김경희,02-400-5534,영업중,2024-08-12
11710-2019-00121,좋은공인중개사사무소,서울특별시 송파구 백제고분로32길 5 1층(삼전동),허화영,02-424-0017,영업중,2024-08-12
11710-2019-00122,믿음공인중개사사무소,"서울특별시 송파구 새말로8길 14 상가동 103호(문정동, 건영아파트)",서석정,02-404-5522,영업중,2024-08-12
11710-2019-00125,뉴다올부동산중개법인 주식회사,"서울특별시 송파구 백제고분로51길 7 109호(방이동,잠실엘퍼스트오피스텔)",김홍석,02-423-8945,영업중,2024-08-12
11710-2019-00126,삼성공인중개사사무소,서울특별시 송파구 마천로 184 104호(오금동),박경화,02-430-7744,영업중,2024-08-12
11710-2019-00130,동아부동산공인중개사사무소,서울특별시 송파구 올림픽로32길 18 1층(방이동),장예진,02-416-3336,영업중,2024-08-12
11710-2019-00131,New엘퍼스트공인중개사사무소,"서울특별시 송파구 백제고분로51길 7 113호(방이동, 잠실엘퍼스트오피스텔)",김종태,02-419-7775,영업중,2024-08-12
11710-2019-00132,OK공인중개사사무소,서울특별시 송파구 백제고분로41길 22 1층(송파동),이영일,02-422-8686,영업중,2024-08-12
11710-2019-00143,제일공인중개사사무소,"서울특별시 송파구 오금로 432 상가동1층 11호(가락동,삼환아파트)",이성화,02-400-8888,영업중,2024-08-12
11710-2019-00155,금탑공인중개사사무소,"서울특별시 송파구 송파대로 345 1A동 B123호(가락동, 헬리오시티)",이선옥,02-2042-8989,영업중,2024-08-12
11710-2019-00156,헬리오공인중개사사무소,"서울특별시 송파구 송파대로 345 1A동 B21호(가락동, 헬리오시티)",강미림,02-409-0021,영업중,2024-08-12
11710-2019-00157,미래새한부동산중개주식회사,서울특별시 송파구 중대로 97 5층(가락동),정채선,02-558-5151,영업중,2024-08-12
11710-2019-00161,거마삼천리공인중개사사무소,서울특별시 송파구 성내천로 216 1층(마천동),정창광,02-4488244,영업중,2024-08-12
11710-2019-00168,지인공인중개사사무소,"서울특별시 송파구 송파대로 345 1A동 1057호(가락동, 헬리오시티)",전지은,02-400-0200,영업중,2024-08-12
11710-2019-00172,주식회사 부동산중개법인쌍용,서울특별시 송파구 오금로11길 26 1층(방이동),변재균,02-400-5555,영업중,2024-08-12
11710-2019-00174,조은글로벌공인중개사사무소,서울특별시 송파구 송파대로28길 13 3층303호(가락동),최철기,등록된 사무소 전화번호 없음,영업중,2024-08-12
11710-2019-00175,랜드모아부동산중개 주식회사,"서울특별시 송파구 충민로 66 F-8045호(문정동, 가든파이브라이프)",김용걸,등록된 사무소 전화번호 없음,영업중,2024-08-12
11710-2019-00176,신한공인중개사사무소,"서울특별시 송파구 양재대로 1218 비상가동 1층102호(방이동, 올림픽선수기자촌아파트)",이란,02-409-1100,영업중,2024-08-12
11710-2019-00180,동호공인중개사사무소,"서울특별시 송파구 법원로9길 26 D-118호(문정동,에이치비즈니스파크)",김현수,등록된 사무소 전화번호 없음,영업중,2024-08-12
11710-2019-00182,우성공인중개사사무소,서울특별시 송파구 오금로23길 43 1층 (방이동),김석기,02-424-3241,영업중,2024-08-12
11710-2019-00186,우송공인중개사사무소,서울특별시 송파구 백제고분로22길 26 1층 (삼전동),이수현,02-423-0003,영업중,2024-08-12
11710-2019-00196,문정래미안공인중개사사무소,"서울특별시 송파구 문정로 83 상가동 126호(문정동,문정래미안아파트)",박선희,02-448-4600,영업중,2024-08-12
11710-2019-00197,아성공인중개사사무소,서울특별시 송파구 송파대로37길 46 1층(석촌동),김승희,02-427-0777,영업중,2024-08-12
11710-2019-00198,리더스공인중개사사무소,서울특별시 송파구 가락로 79 1층(석촌동),주현지,02-423-7797,영업중,2024-08-12
11710-2019-00199,파크밴드공인중개사사무소,"서울특별시 송파구 송파대로 345 1B동 1105호(가락동, 헬리오시티)",한민자,등록된 사무소 전화번호 없음,영업중,2024-08-12
11710-2019-00201,월드공인중개사사무소,"서울특별시 송파구 올림픽로 336 B08호(방이동,대우유토피아오피스텔)",정연희,02-2203-8001,영업중,2024-08-12
11710-2019-00202,알비부동산중개주식회사,"서울특별시 송파구 올림픽로35길 137 7층(신천동,한국광고문화회관)",황성규,02-555-5537,영업중,2024-08-12
11710-2019-00206,스카이공인중개사사무소,서울특별시 송파구 송파대로28길 13 8층805호(가락동),정구완,등록된 사무소 전화번호 없음,영업중,2024-08-12
11710-2019-00212,잠실영진공인중개사사무소,"서울특별시 송파구 석촌호수로 61 상가동 134호(잠실동, 트리지움)",김정옥,02-418-9900,영업중,2024-08-12
11710-2019-00216,상가공인중개사사무소,"서울특별시 송파구 중대로 105 106호(가락동, 가락ID TOWER)",손재근,등록된 사무소 전화번호 없음,영업중,2024-08-12
11710-2019-00222,포커스공인중개사사무소,"서울특별시 송파구 중대로 135 비102호(가락동, 아이티벤처타워)",서기철,등록된 사무소 전화번호 없음,영업중,2024-08-12
11710-2019-00223,레이크잠실미래공인중개사사무소,"서울특별시 송파구 석촌호수로 135 상가A동 101호 (잠실동, 레이크팰리스)",방유진,02-424-6111,영업중,2024-08-12
11710-2019-00232,희망공인중개사사무소,서울특별시 송파구 백제고분로27길 34 1층(삼전동),오은희,02-422-7114,영업중,2024-08-12
11710-2019-00238,닥터부동산중개법인 주식회사,"서울특별시 송파구 법원로 114 C동 C-102호(문정동, 엠스테이트)",이석우,02-512-1201,영업중,2024-08-12
11710-2019-00238-001,닥터부동산중개법인  주식회사,"서울특별시 종로구 대학로 144 217호(혜화동, 중원빌딩)",박옥경,02-3674-4989,영업중,2024-08-12
11710-2019-00244,위례부자공인중개사사무소,"서울특별시 송파구 위례광장로 270 G111호(장지동,송파와이즈더샵)",노정희,등록된 사무소 전화번호 없음,영업중,2024-08-12
11710-2019-00245,잠실역공인중개사사무소,"서울특별시 송파구 올림픽로35가길 11 137호(신천동,한신잠실코아오피스텔)",박민선,02-416-7600,영업중,2024-08-12
11710-2019-00247,한결공인중개사사무소,"서울특별시 송파구 송파대로 345 1A동 1089호(가락동,헬리오시티)",김지우,02-402-1122,영업중,2024-08-12
11710-2019-00254,유명한공인중개사사무소,서울특별시 송파구 마천로57길 5 1층(마천동),이숙자,02-409-8849,영업중,2024-08-12
11710-2019-00257,솔로몬공인중개사사무소,"서울특별시 송파구 양재대로 1218 에이상가동 1층103호(방이동,올림픽선수기자촌아파트)",백현주,02-402-6100,영업중,2024-08-12
11710-2019-00259,잠실사랑공인중개사사무소,"서울특별시 송파구 올림픽로 145 상가동 A 41호 (잠실동, 리센츠)",이춘우,02-422-2775,영업중,2024-08-12
11710-2019-00260,엄마손공인중개사사무소,"서울특별시 송파구 가락로 103 102호(석촌동,엄마손백화점)",이서구,등록된 사무소 전화번호 없음,영업중,2024-08-12
11710-2019-00264,국민부동산공인중개사사무소,"서울특별시 송파구 올림픽로35길 10 상가B동 142호 (신천동, 파크리오)",문복삼,02-420-0006,영업중,2024-08-12
11710-2019-00270,동부팰리스공인중개사사무소,"서울특별시 송파구 충민로 5 115호 (문정동, 송파한화오벨리스크)",최준형,02-564-0001,영업중,2024-08-12
11710-2019-00272,주식회사 블루원부동산중개법인,"서울특별시 송파구 올림픽로 212 A-1108호(잠실동, 갤러리아팰리스)",김현희,등록된 사무소 전화번호 없음,영업중,2024-08-12
11710-2019-00273,청출어람복덕방공인중개사사무소,"서울특별시 송파구 송파대로 345 2A동 B1층5호(가락동, 헬리오시티)",최규홍,02-427-6666,영업중,2024-08-12
11710-2019-00274,부동산갤러리공인중개사사무소,"서울특별시 송파구 송이로32길 37 201동 상가07호(문정동, 문정푸르지오@)",고선희,02-449-5200,영업중,2024-08-12
11710-2019-00275,부자부동산중개법인 주식회사,"서울특별시 송파구 송파대로 167 A동 110호(문정동, 문정역테라타워)",한유정,02-406-0029,영업중,2024-08-12
11710-2019-00276,황금알공인중개사사무소,"서울특별시 송파구 마천로 315 상가126호 (마천동, 현대그린빌)",박경임,02-430-4999,영업중,2024-08-12
11710-2019-00280,위례중앙공인중개사사무소,"서울특별시 송파구 위례광장로 121 상가동 105호(장지동, 위례24단지)",조혜숙,02-422-0055,영업중,2024-08-12
11710-2019-00285,대흥공인중개사사무소,서울특별시 송파구 백제고분로31길 31 101호(삼전동),김기웅,02-412-4889,영업중,2024-08-12
11710-2019-00291,문정금메달공인중개사사무소,"서울특별시 송파구 정의로7길 13 113호(문정동,힐스테이트에코송파)",김은미,02-2622-1300,영업중,2024-08-12
11710-2019-00299,부동산포유공인중개사사무소,"서울특별시 송파구 법원로11길 11 148호 (문정동, 문정현대지식산업센터1-1)",김기훈,02-6425-1112,영업중,2024-08-12
11710-2019-00300,한진공인중개사사무소,"서울특별시 송파구 올림픽로37길 130 상가A동 108호(신천동,파크리오)",강민성,02-419-8181,영업중,2024-08-12
11710-2019-00305,점포마루공인중개사사무소,서울특별시 송파구 중대로 197 3층(가락동),강공덕,등록된 사무소 전화번호 없음,영업중,2024-08-12
11710-2019-00308,곽혜경공인중개사사무소,"서울특별시 송파구 중대로 24 훼밀리상가 1층102호(문정동,올림픽훼밀리타운)",곽혜경,02-449-9000,영업중,2024-08-12
11710-2019-00309,문정번개부동산중개,서울특별시 송파구 법원로8길 13 603호(문정동),박근식,02-1661-5488,영업중,2024-08-12
11710-2019-00310,하나공인중개사사무소,"서울특별시 송파구 올림픽로 203 109호 (잠실동, 중앙상가)",강서연,02-421-3500,영업중,2024-08-12
11710-2019-00311,주식회사브이유멤버스부동산중개법인,"서울특별시 송파구 법원로 114 A동 A-904-1호(문정동, 엠스테이트)",박지연,02-565-4985,영업중,2024-08-12
11710-2019-00312,로이공인중개사사무소,"서울특별시 송파구 강동대로9길 8 상가동 103호 (풍납동, 극동아파트)",김경희,등록된 사무소 전화번호 없음,영업중,2024-08-12
11710-2019-00313,명성공인중개사사무소,서울특별시 송파구 오금로18길 6 1층(송파동),이종석,02-414-4790,영업중,2024-08-12
11710-2019-00314,조은부동산공인중개사사무소,"서울특별시 송파구 성내천로 314 상가동 103호(마천동,마천동금호어울림2차아파트)",신지원,02-404-8120,영업중,2024-08-12
11710-2019-00318,행복한부동산공인중개사사무소,서울특별시 송파구 백제고분로22길 10 1층(삼전동),문한성,02-414-3355,영업중,2024-08-12
11710-2019-00320,성진공인중개사사무소,"서울특별시 송파구 오금로36길 18 102호(가락동,태영빌라트)",안기신,02-400-8040,영업중,2024-08-12
11710-2019-00322,코비즈공인중개사사무소,"서울특별시 송파구 올림픽로 203 2층 203호(잠실동, 중앙상가)",이영구,02-421-0977,영업중,2024-08-12
11710-2019-00323,송파호반HELIO공인중개사사무소,서울특별시 송파구 마천로 165 1층(오금동),김혜진,02-3426-1000,영업중,2024-08-12
11710-2019-00325,탑공인중개사사무소,서울특별시 송파구 올림픽로34길 5-13 116호(방이동),김명신,등록된 사무소 전화번호 없음,영업중,2024-08-12
11710-2019-00326,위례타운공인중개사사무소,"서울특별시 송파구 위례광장로 163 상가동 107호(장지동, 위례22단지)",최혜정,02-402-9700,영업중,2024-08-12
11710-2019-00327,우선팔팔공인중개사사무소,서울특별시 송파구 올림픽로4길 32 1층103호(잠실동),이수용,02-422-4848,영업중,2024-08-12
11710-2019-00331,스카이공인중개사사무소,"서울특별시 송파구 올림픽로34길 5-23 102호(방이동,잠실파크웨이)",남기윤,02-423-7300,영업중,2024-08-12
11710-2019-00333,가원부동산중개법인주식회사,"서울특별시 송파구 중대로 24 유치원동 116호(문정동, 올림픽훼밀리타운)",정혜지,02-403-3700,영업중,2024-08-12
